w,w,w,w,w,w,w,wr2,f1,fa,g,g,fa,fa,fa,fa,fa,fa,fa,f2
w,w,w,w,w,w,w,wr2,fb,g,g,g,g,g,g,g,g,m2,g,fc
w,w,w,w,w,w,w,wr2,fb,g,g,g,g,m1,g,g,g,g,g,fc
wm2,wm2,wm2,wm2,wm2,wc2,w,wr2,fb,g,m2,g,g,t,g,g,t,g,g,fc
s1,s2,s3,s4,g,wl2,w,wr2,fb,g,g,g,g,g,g,m2,g,g,g,fc
s5,s6,s7,s8,p,wl2,w,wr2,fb,g,g,g,g,g,g,g,g,g,g,fc
s9,s10,s11,s12,p,wl2,w,wr2,fb,g,t,g,m1,g,g,g,g,g,g,fc
s13,s14,s15,s16,g,wl2,w,wr2,fb,g,g,g,g,g,g,g,g,g,g,fc
g,g,g,g,g,wl3,wm2,wr3,fb,g,g,g,g,g,g,g,m1,g,g,fc
g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,fc
g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,t,g,g,fc
g,g,g,g,g,wl1,wm1,wr1,fb,g,g,g,g,g,t,g,g,g,g,fc
g,g,g,g,g,wl2,w,wr2,fb,g,g,g,g,g,g,g,g,g,g,fc
g,t,g,t,g,wl2,w,wr2,fb,g,g,g,g,h1,h2,h3,h4,h5,g,fc
g,g,g,g,g,wl2,w,wr2,fb,g,g,g,g,h6,h7,h8,h9,h10,g,fc
g,g,g,g,g,wl2,w,wr2,fb,g,g,g,g,h11,h12,h13,h14,h15,g,fc
wm1,wm1,wm1,wm1,wm1,wc1,w,wr2,fb,g,g,g,g,h16,h17,h18,h19,h20,g,fc
w,w,w,w,w,w,w,wr2,fb,g,t,g,g,h21,g,h23,h24,h25,g,fc
w,w,w,w,w,w,w,wr2,fb,g,g,g,g,g,g,g,g,g,g,fc
w,w,w,w,w,w,w,wr2,f3,fa,fa,fa,fa,fa,fa,fa,fa,fa,fa,f4
